ngram	insep	N(C1C2)	N(C1)	N(C2)	p(C1C2)
t s	0.71	3787	21337	8784	0.0
t ɕ	0.55	3114	21337	7685	0.0
g dʑ	0.49	582	2473	2578	0.0
ŋ dʑ	0.46	357	990	2578	0.0
s t	0.35	2654	8784	21337	0.0
ʂ ʈʂ	0.2	547	4887	2826	0.0
d z	0.19	588	4608	3711	0.0
w j	0.1	877	8228	8637	0.0
ɖ ʐ	0.09	26	26	2663	0.0
p ʂ	0.09	520	5767	4887	0.0
ʈʂ k	0.08	491	2826	10101	0.0
p r	0.07	500	5767	5639	0.0
ʐ ɖ	0.07	23	2663	26	0.0
z r	0.04	309	3711	5639	0.0
ŋ c	0.04	13	990	41	0.0
v ʐ	0.03	245	5991	2663	0.0
ŋ t	0.03	270	990	21337	0.0
ʈʂ ʈ	0.03	9	2826	9	0.004
x t	0.03	353	1836	21337	0.0
k t	0.03	816	10101	21337	0.0
l k	0.03	307	3185	10101	0.0
ɕ t	0.02	654	7685	21337	0.0
b ʐ	0.02	187	5132	2663	0.0
f ʂ	0.02	123	1339	4887	0.0
w t	0.02	629	8228	21337	0.0
s k	0.02	445	8784	10101	0.0
ʑ dʑ	0.02	42	326	2578	0.0
ŋ d	0.02	97	990	4608	0.0
ʂ k	0.02	315	4887	10101	0.0
v j	0.02	321	5991	8637	0.0
ʈ ʂ	0.02	9	9	4887	0.004
r t	0.02	465	5639	21337	0.0
n k	0.02	328	5960	10101	0.0
g r	0.02	156	2473	5639	0.0
f k	0.02	153	1339	10101	0.0
m j	0.02	324	7102	8637	0.0
w d	0.02	254	8228	4608	0.0
p j	0.02	288	5767	8637	0.0
d l	0.01	154	4608	3185	0.0
b ɟ	0.01	57	5132	393	0.0
f ʈʂ	0.01	78	1339	2826	0.0
t f	0.01	212	21337	1339	0.0
d r	0.01	193	4608	5639	0.0
w ʈʂ	0.01	179	8228	2826	0.0
d w	0.01	227	4608	8228	0.0
b j	0.01	244	5132	8637	0.0
ʑ ɲ	0.01	43	326	4231	0.0
t r	0.01	401	21337	5639	0.0
b r	0.01	196	5132	5639	0.0
ɕ m	0.01	265	7685	7102	0.0
z v	0.01	169	3711	5991	0.0
r k	0.01	266	5639	10101	0.0
k r	0.01	260	10101	5639	0.0
ɕ ɲ	0.01	189	7685	4231	0.0
w g	0.01	149	8228	2473	0.0
z n	0.01	155	3711	5960	0.0
z t	0.01	289	3711	21337	0.0
s p	0.01	227	8784	5767	0.0
z m	0.01	161	3711	7102	0.0
z b	0.01	133	3711	5132	0.0
z p	0.01	140	3711	5767	0.0
ʂ t	0.01	307	4887	21337	0.0
ɕ f	0.01	96	7685	1339	0.0
ɕ p	0.01	196	7685	5767	0.0
t ʂ	0.01	300	21337	4887	0.0
v w	0.01	205	5991	8228	0.0
t k	0.01	427	21337	10101	0.0
w p	0.01	200	8228	5767	0.0
d n	0.01	149	4608	5960	0.0
w ʐ	0.01	132	8228	2663	0.0
k ɕ	0.01	247	10101	7685	0.0
w b	0.01	182	8228	5132	0.0
k j	0.01	260	10101	8637	0.0
z j	0.01	149	3711	8637	0.0
s w	0.01	223	8784	8228	0.0
g w	0.01	115	2473	8228	0.0
k l	0.01	143	10101	3185	0.0
w v	0.01	176	8228	5991	0.0
d v	0.01	131	4608	5991	0.0
r d	0.01	126	5639	4608	0.0
d ɲ	0.01	109	4608	4231	0.0
z d	0.01	101	3711	4608	0.0
w k	0.01	222	8228	10101	0.0
f t	0.01	129	1339	21337	0.0
ŋ k	0.01	76	990	10101	0.0
m t	0.01	293	7102	21337	0.0
w z	0.01	130	8228	3711	0.0
ʐ n	0.0	92	2663	5960	0.0
w ɲ	0.0	132	8228	4231	0.0
m p	0.0	143	7102	5767	0.0
l n	0.0	96	3185	5960	0.0
g n	0.0	81	2473	5960	0.0
ɕ l	0.0	103	7685	3185	0.0
ʈʂ n	0.0	85	2826	5960	0.0
g l	0.0	57	2473	3185	0.0
v d	0.0	105	5991	4608	0.0
j k	0.0	184	8637	10101	0.0
w ɕ	0.0	155	8228	7685	0.0
ʐ ɲ	0.0	65	2663	4231	0.0
ʂ p	0.0	102	4887	5767	0.0
w s	0.0	160	8228	8784	0.0
ʂ j	0.0	121	4887	8637	0.0
m b	0.0	112	7102	5132	0.0
ʂ z	0.0	79	4887	3711	0.0
j dʑ	0.0	87	8637	2578	0.0
s f	0.0	63	8784	1339	0.0
c n	0.0	9	41	5960	0.004
ʂ n	0.0	97	4887	5960	0.0
ʂ v	0.0	97	4887	5991	0.0
j t	0.0	236	8637	21337	0.0
m ɲ	0.0	95	7102	4231	0.0
ɲ k	0.0	113	4231	10101	0.0
p ɟ	0.0	26	5767	393	0.0
j m	0.0	134	8637	7102	0.0
k w	0.0	154	10101	8228	0.0
z k	0.0	103	3711	10101	0.0
v ɲ	0.0	84	5991	4231	0.0
ɕ dʑ	0.0	72	7685	2578	0.0
